timestamp,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
2023-10-16 14:56:24.000000,0.0,-0.0,0.0,-0.0,1.0,-1.0,1.0,-1.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2023-10-16 14:56:24.000000,0.0,29.1616,166.118,75.8626,0.0194,0.0084,-0.0054,0.9998,53.0285,112.4424,45.3662,0.2836,-0.1706,-0.3082,0.8919,8.3178,117.4977,43.0841,0.3308,0.1258,-0.1028,0.9296
2023-10-16 14:56:24.000000,0.0,29.1147,166.1533,75.9536,0.0211,0.0086,-0.0051,0.9997,52.9462,112.8278,45.2403,0.2869,-0.1701,-0.3107,0.8901,8.2634,118.1512,43.2095,0.3473,0.1279,-0.0994,0.9236
2023-10-16 14:56:24.000000,0.0,29.0956,166.0802,75.9887,0.0167,0.0079,-0.0055,0.9998,52.8726,112.0447,45.2489,0.2633,-0.1861,-0.3132,0.8933,8.0271,117.9542,43.1798,0.3291,0.1287,-0.0794,0.9321
2023-10-16 14:56:24.000000,0.0,28.6416,165.552,76.4212,-0.0073,0.006,-0.0076,0.9999,50.3381,112.5119,46.73,0.2522,-0.2023,-0.3193,0.8908,7.3686,120.4461,45.9284,0.4212,0.2291,-0.1172,0.8697
2023-10-16 14:56:24.039840,39.84,28.4526,165.2035,76.4653,-0.0209,0.0062,-0.0094,0.9997,49.4751,112.412,48.1601,0.2741,-0.2119,-0.2787,0.8957,7.9603,119.529,46.0624,0.3922,0.1639,-0.06,0.9031
2023-10-16 14:56:24.070022,70.022,28.3977,165.0972,76.426,-0.0245,0.0065,-0.0099,0.9996,49.3971,111.8686,48.4954,0.2733,-0.2135,-0.2856,0.8934,8.0023,118.9537,46.204,0.379,0.1593,-0.0411,0.9107
2023-10-16 14:56:24.082839,82.839,28.3961,165.1053,76.4104,-0.0238,0.0068,-0.0098,0.9996,49.333,111.602,48.3926,0.2646,-0.2101,-0.2948,0.8938,8.0959,118.7965,46.1025,0.3723,0.154,-0.0406,0.9143
2023-10-16 14:56:24.097183,97.183,28.4283,165.1712,76.3927,-0.0212,0.0068,-0.0095,0.9997,49.4396,111.5096,48.1007,0.257,-0.2064,-0.3035,0.894,8.1063,118.867,45.9275,0.3715,0.1537,-0.0492,0.9143
2023-10-16 14:56:24.111648,111.648,28.3586,165.0704,76.3783,-0.0248,0.0071,-0.0099,0.9996,49.0405,110.9674,48.3965,0.2501,-0.2044,-0.305,0.8959,8.4119,118.4486,46.0202,0.3607,0.1345,-0.0397,0.9221
